code,status,rewards
excaliburfool,Active,"40x Locked Element Reroll, 30x Locked Weapon Reroll, 25x Locked Clan Reroll, 20x Weapon Appearance Reroll, 2x Locked Blue Elixir, 2x Locked Red Elixir"
NEWhiguyscode,Active,"15x Locked Clan Reroll, 10x Locked Weapon Reroll, 10x Locked Element Reroll"
NEWthisiswhywetestthosewhoknow,Active,"20x Locked Element Reroll, 20x Eye Colour Reroll, 10x Locked Weapon Reroll, 15x Locked Clan Reroll, 10x Mask Reroll, 10x Mouth Reroll, 1x World Ticket"
goplayranked,Active,???
somebugsfixes,Active,???
raidsfixed,Active,???
thanksforpatience,Active,???
800kcodeyeah,Active,???
rerererelease,Active,"1x Bararaq Extremity, 10x Locked Clan Reroll, 10x Locked Weapon Reroll, 10x Locked Element Reroll"
compensationforinconvenientrelease,Active,"10x Locked Weapon Reroll, 10x Locked Clan Reroll, 15x Locked Element Reroll"
promiseddecembercode,Active,"5x Locked Weapon, 5x Locked Clan Reroll, 5x Eyes Reroll, 10x Eyecolor Reroll, 10x Mouth Reroll, 10x Locked Element Reroll"
privateservercompensation,Active,"1x Bararaq Extremity, 1x World Ticket, 10x Locked Clan Reroll, 10x Weapon Appearance Reroll, 15x Locked Element Reroll"
3daysthosewhoknow,Active,"1x Bararaq Extremity Wrapped, 5x Locked Element Reroll, 10x Locked Clan Reroll, 10x Locked Weapon Reroll"
sorryforthebankbugs,Active,"10x Locked Element Reroll, 10x Locked Clan Reroll, 10x Locked Weapon Reroll, 10x Locked Eyes Reroll"
